evaluator	POSITIVE	NEGATIVE	INDECISIVE	CONFLICT	ERROR
TCPRAW_SCHEITLE	1665		2010033		6750
TCPRAW_STARKE	1734		2009964		6750
DOMAIN	321		2018127		
SSH_KEYSCAN	1566	451713	1565169		
TCP_OPTIONS		706227	1312221		
ML_STARKE	10761	1980903	1734		25050
BITCOIN		788991	1206822		22635
BITCOIN_ADDR		698340	1303836		16272
BITCOIN_ADDR_SVC		360249	1641927		16272
