evaluator	POSITIVE	NEGATIVE	INDECISIVE	CONFLICT	ERROR
TCPRAW_SCHEITLE	550		660631		2146
TCPRAW_STARKE	575		660606		2146
DOMAIN	105		663222		
SSH_KEYSCAN	298	90414	572615		
TCP_OPTIONS		219664	443663		
ML_STARKE	24250	629962	575		8540
BITCOIN		256108	403159		4060
BITCOIN_ADDR		203208	456059		4060
BITCOIN_ADDR_SVC		107372	551895		4060
