evaluator	POSITIVE	NEGATIVE	INDECISIVE	CONFLICT	ERROR
TCPRAW_SCHEITLE	553		629578		1975
TCPRAW_STARKE	579		629552		1975
DOMAIN	104		632002		
SSH_KEYSCAN	528	153022	478556		
TCP_OPTIONS		200472	431634		
ML_STARKE	23427	601004	579		7096
BITCOIN		234199	392867		5040
BITCOIN_ADDR		224371	402697		5038
BITCOIN_ADDR_SVC		113537	513531		5038
