algorithm	pos_was_POSITIVE	pos_was_NEGATIVE	pos_was_INDECISIVE	pos_was_CONFLICT	pos_was_ERROR	pos_probable	pos_improbable	neg_was_POSITIVE	neg_was_NEGATIVE	neg_was_INDECISIVE	neg_was_CONFLICT	neg_was_ERROR	neg_probable	neg_improbable	conflict	indecisive	error
definite	362					0	0		498939				0	0	166	129154	3485
most_definite	362			166		20	0		334560				0	0	0	297018	0
btc_definite									372014		166		20	0	0	254888	5038
probable	34	21	26	20	3	49	0								0	632002	0
improbable								1	98386	15147	3		0	0	0	513531	5038
starke	299	14846	8705	131	25	41	0	63	478301	119253	35	3352	8	0	0	0	7096
scheitle	140	200	149	61	3	25	0								0	629578	1975
keyscan	362			166		20	0		153022				0	0	0	478556	0
