evaluator	POSITIVE	NEGATIVE	INDECISIVE	CONFLICT	ERROR
TCPRAW_SCHEITLE	539		665878		1614
TCPRAW_STARKE	559		665858		1614
DOMAIN	106		667925		
SSH_KEYSCAN	513	152956	514562		
TCP_OPTIONS		223050	444981		
ML_STARKE	26732	633255	559		7485
BITCOIN		259851	403493		4687
BITCOIN_ADDR		215238	448107		4686
BITCOIN_ADDR_SVC		115188	548157		4686
