evaluator	POSITIVE	NEGATIVE	INDECISIVE	CONFLICT	ERROR
TCPRAW_SCHEITLE	951	116428	1054488		1777
TCPRAW_STARKE	1043		1169047		3554
DOMAIN	98	110094	1059273		4179
SSH_KEYSCAN	28972	666678	470365		7629
TCP_OPTIONS	530	182099	989238		1777
ML_STARKE	28632	550129	587254		7629
BITCOIN	10388	772261	383564	1395	6036
BITCOIN_ADDR		207290	962165		4189
BITCOIN_ADDR_SVC		184782	984683		4179
