algorithm	pos_was_POSITIVE	pos_was_NEGATIVE	pos_was_INDECISIVE	pos_was_CONFLICT	pos_was_ERROR	pos_probable	pos_improbable	neg_was_POSITIVE	neg_was_NEGATIVE	neg_was_INDECISIVE	neg_was_CONFLICT	neg_was_ERROR	neg_probable	neg_improbable	conflict	indecisive	error
definite	110					0	0		117216				0	0	28	64388	516
most_definite	110			28		2	0		78965				0	0	0	103155	0
btc_definite									73305		28		2	0	0	108099	826
probable	18	2	10	2		12	0								0	182226	0
improbable									12727	2905			0	0	0	165800	826
starke	96	7489	6390	25	16	11	0	14	108809	56825	3	488	1	0	0	0	2103
scheitle	42	53	95	9		4	0								0	181076	983
keyscan	110			28		2	0		31231				0	0	0	150889	0
