evaluator	POSITIVE	NEGATIVE	INDECISIVE	CONFLICT	ERROR
TCPRAW_SCHEITLE	420		1126622		2590
TCPRAW_STARKE	426		1126616		2590
DOMAIN	88		1129544		
SSH_KEYSCAN	444	207064	922124		
TCP_OPTIONS		431828	697804		
ML_STARKE	1482	1088060	426		39664
BITCOIN		551035	570198		8399
BITCOIN_ADDR		378130	743103		8399
BITCOIN_ADDR_SVC		279271	841962		8399
