ip4	ip6
83.218.158.174	2003:a:63a:8800:211:32ff:fe9c:e46d
5.188.33.194	2a03:90c0:2c6::b8
103.244.38.126	2403:2700:4001::1834
92.130.196.17	2a01:4f8:10a:1d8f::2
162.209.88.174	2001:4801:7819:74:b745:b9d5:ff10:aaec
162.209.88.174	2001:4801:7821:77:be76:4eff:fe10:c7f6
87.139.127.162	2001:470:6e:7a5::2
5.9.16.75	2a01:4f8:162:1228::2
178.63.98.228	2a01:4f8:121:44a5::2
178.63.98.228	2a01:4f8:160:14dd::2
178.63.98.228	2a01:4f8:162:314a::2
185.5.55.45	2a02:7b40:b905:372d::1
144.76.98.163	2a01:4f8:192:33a2::2
5.9.82.162	2a01:4f8:191:2b3::2
5.9.82.162	2a01:4f8:121:2f8::2
5.9.82.162	2a01:4f8:162:51e7::2
5.9.82.162	2a01:4f8:162:1cc::2
81.161.226.4	2a01:4f9:4a:2f9b::2
62.251.109.216	2001:985:ccc4:1:1e69:7aff:fe0b:3767
178.20.100.35	2a02:2b80:101:104::614
178.128.49.224	2001:8d8:87c:7c00::99:3c1
94.130.11.6	2a01:4f8:10b:f44::2
86.200.83.221	2a01:4f8:150:7087::2
144.76.62.12	2a01:4f8:160:8442::2
144.76.62.12	2a01:4f8:191:710b::2
5.9.67.151	2a01:4f8:161:728a::2
5.9.67.151	2a01:4f8:161:50a6::2
95.216.41.228	2a01:4f9:2a:201b::2
83.137.41.10	2607:fa18:3a01::20
78.46.189.199	2a01:4f8:190:64c6::2
78.46.189.199	2a01:4f8:121:2f8::2
78.46.189.199	2a01:4f8:150:3219::2
78.46.189.199	2a01:4f8:192:369::2
176.9.84.152	2a01:4f8:151:2269::2
138.201.206.35	2a01:4f8:173:1622::2
138.201.58.141	2a01:4f8:172:138c::2
46.226.111.23	2001:4b98:dc2:41:216:3eff:fe18:65b2
95.216.36.231	2a01:4f9:2a:2518::2
37.187.109.60	2001:41d0:a:623c::1
37.187.109.60	2001:8d8:87c:7c00::99:3c1
