ip	num_assoc	res_definite	res_most_definite	res_btc_definite	res_probable	res_improbable	res_starke	res_scheitle	res_keyscan
2a01:4f9:2a:2c67::2	20408	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	NEGATIVE	ERROR	NEGATIVE
2002:c16a:1c08::c16a:1c08	20408	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	POSITIVE	INDECISIVE
2a01:4f8:c2c:5011::1	20408	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	INDECISIVE	NEGATIVE	ERROR	CONFLICT
2a01:238:4380:1400:ac93:d34b:7f20:ea18	20408	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	POSITIVE	CONFLICT
2001:41d0:8:88de::	20408	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	NEGATIVE	NEGATIVE	ERROR	CONFLICT
2001:41d0:8:9521::1	20408	NEGATIVE	NEGATIVE	NEGATIVE	POSITIVE	INDECISIVE	NEGATIVE	ERROR	INDECISIVE
2a01:4f8:150:62f0::2	20408	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	POSITIVE	CONFLICT
2002:5dbd:91a9::5dbd:91a9	20408	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE	CONFLICT	POSITIVE	INDECISIVE
2001:41d0:d:dc9::	20408	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE	NEGATIVE	ERROR	INDECISIVE
2607:fa18:3a01::20	20408	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	POSITIVE	NEGATIVE
2604:a880:4:1d0::c5:6000	20408	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	ERROR	CONFLICT
2001:4451:4349:dd00:14e5:2582:1ce8:d6f0	20408	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	NEGATIVE	ERROR	INDECISIVE
2a01:4f8:140:3144::2	20408	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	NEGATIVE	NEGATIVE	ERROR	CONFLICT
2001:470:809a:1201::f902:7eda	20408	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	ERROR	NEGATIVE
2406:da1e:a4e:8a00:cf35:2984:e069:a273	20408	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	NEGATIVE	ERROR	INDECISIVE
2a01:4f8:190:240f::2	20408	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	NEGATIVE	NEGATIVE	ERROR	CONFLICT
2600:1f18:66fc:d700:f327:c722:576b:a791	20408	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	NEGATIVE	ERROR	INDECISIVE
2600:1f18:66fc:d701:5e47:6904:adbf:1ae2	20408	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	ERROR	INDECISIVE
