evaluator	POSITIVE	NEGATIVE	INDECISIVE	CONFLICT	ERROR
TCPRAW_SCHEITLE	514		572227		1179
TCPRAW_STARKE	528		572213		1179
DOMAIN	99		573821		
SSH_KEYSCAN		8064	565856		
TCP_OPTIONS		177394	396526		
ML_STARKE	8841	557512	528		7039
BITCOIN		199222	371050		3648
BITCOIN_ADDR		203150	367122		3648
BITCOIN_ADDR_SVC		116232	454040		3648
