evaluator	POSITIVE	NEGATIVE	INDECISIVE	CONFLICT	ERROR
TCPRAW_SCHEITLE	513		584532		1777
TCPRAW_STARKE	530		584515		1777
DOMAIN	98		586724		
SSH_KEYSCAN	438	116428	469956		
TCP_OPTIONS		182099	404723		
ML_STARKE	28530	550133	530		7629
BITCOIN		207290	375343		4189
BITCOIN_ADDR		184782	397861		4179
BITCOIN_ADDR_SVC		110094	472549		4179
