evaluator	POSITIVE	NEGATIVE	INDECISIVE	CONFLICT	ERROR
TCPRAW_SCHEITLE	528		571913		2435
TCPRAW_STARKE	551		571890		2435
DOMAIN	98		574778		
SSH_KEYSCAN	466	127932	446478		
TCP_OPTIONS		181051	393825		
ML_STARKE	23653	544094	551		6578
BITCOIN		204871	366837		3168
BITCOIN_ADDR		130749	440959		3168
BITCOIN_ADDR_SVC		76623	495085		3168
