ip4	ip6
37.59.47.27	2001:41d0:8:6a1b::
185.25.48.184	2607:5300:60:cff1::
185.25.48.184	2a01:4f8:c2c:a0d::1
185.25.48.184	2a01:4f8:200:24bb::2
185.25.48.184	2607:5300:60:1964::1
185.25.48.184	2a01:4f9:2a:201b::2
185.25.48.184	2605:e200:d202:300:20c:29ff:fef1:85ec
185.25.48.184	2a01:4f8:150:630d::2
185.25.48.184	2a01:e35:243f:70b0:1e1b:dff:fe0b:236d
185.25.48.184	2a01:4f8:190:91c4::2
46.101.138.202	2a01:e0a:366:36c0:a460:dbff:fe63:f286
46.101.138.202	2001:19f0:5:35ed:5400:2ff:fe98:a318
46.101.138.202	2001:41d0:303:5ee6::
46.101.138.202	2a03:e2c0:1ce::2
46.101.138.202	2001:8003:b062:b801:225:64ff:fee0:9ee4
46.101.138.202	2003:db:ef01:ff00::f00d:babe
46.101.138.202	2a06:dd00:1:4:1::343
46.101.138.202	2601:1c0:5a00:b7c0:7fae:30d7:d25e:d700
46.101.138.202	2a01:e0a:252:6bd0::2
46.101.138.202	2001:470:1f07:281:d250:99ff:fe87:75b5
46.101.138.202	2001:470:28:2f6:f3cb:27c5:df6b:8ca9
116.203.29.242	2a01:4f8:c2c:133b::1
116.203.29.242	2001:41d0:a:f352::1
5.9.93.204	2a01:4f8:162:208a::1
50.116.39.127	2a01:7e00::f03c:92ff:fea7:e7fc
50.116.39.127	2600:3c02::f03c:92ff:fea7:e727
50.116.39.127	2600:3c03::f03c:92ff:fea7:e73a
50.116.39.127	2600:3c00::f03c:92ff:feb3:899f
213.239.201.46	2a01:4f8:202:53c3::2
213.239.201.46	2001:41d0:8:6728::
213.239.201.46	2001:41d0:1:8637::1
95.216.36.213	2607:5300:203:2fac::
95.216.36.213	2001:4801:7819:74:b745:b9d5:ff10:aaec
95.216.36.213	2a01:4f9:2a:2517::2
95.216.36.213	2a05:e5c0:0:100:250:56ff:feb9:d6cb
95.216.36.213	2001:4801:7821:77:be76:4eff:fe10:c7f6
95.216.36.213	2001:41d0:203:45d1::
95.216.36.213	2a01:4f9:2a:2518::2
202.186.109.111	2a01:e34:ec22:a670:bf54:feae:5efd:d64
202.186.109.111	2002:c35b:ef08::1
202.186.109.111	2600:1f18:64d9:1603:4436:871e:2bfe:7403
202.186.109.111	2a01:e0a:366:36c0:a460:dbff:fe63:f286
202.186.109.111	2001:19f0:5:35ed:5400:2ff:fe98:a318
202.186.109.111	2a01:4f8:160:6092:d7bd:a39:3e52:b65d
202.186.109.111	2a01:e34:ee85:be40:7808:50fe:5131:f525
202.186.109.111	2001:985:79af:20::35
202.186.109.111	2a03:e2c0:1ce::2
202.186.109.111	2800:810:462:8080:da50:e6ff:fe4d:32e8
202.186.109.111	2a01:4f8:222:2216::2
202.186.109.111	2a01:4f8:190:318e::2
202.186.109.111	2a01:4f9:4b:5511::2
202.186.109.111	2001:41d0:8:d28a::1
202.186.109.111	2a00:23c4:8b93:3d01:7849:dcf2:519c:86a5
202.186.109.111	2a0f:df00:0:254::46
202.186.109.111	2001:f40:904:d841:bcef:df0a:86b:a023
202.186.109.111	2a01:4f9:4a:2f9b::2
202.186.109.111	2001:470:1f07:281:d250:99ff:fe87:75b5
202.186.109.111	2a00:ee2:1200:1900:250:56ff:fe84:10fb
202.186.109.111	2a01:4f8:160:5167::2
202.186.109.111	2a02:7b40:4f62:1ffd::1
46.4.106.110	2a00:1f40:5001:100::31
46.4.106.110	2a02:7b40:b0df:8925::1
46.4.106.110	2a02:390:9000:0:218:7dff:fe10:be33
46.4.106.110	2a01:4f8:241:1389::2
46.4.106.110	2001:19f0:5801:12e2:5400:2ff:feb0:e8ad
46.4.106.110	2001:470:1f19:6ab::2
46.4.106.110	2602:ffb8::208:72:57:200
46.4.106.110	2a01:7e01::f03c:91ff:fee3:a22f
46.4.106.110	2a01:7c8:d006:e2:5054:ff:fe49:1869
159.203.183.20	2a00:1f40:5001:100::31
159.203.183.20	2a02:7b40:b0df:8925::1
159.203.183.20	2a01:4f8:241:1389::2
159.203.183.20	2a02:7b40:50d1:e6a0::1
159.203.183.20	2001:19f0:5801:12e2:5400:2ff:feb0:e8ad
159.203.183.20	2001:470:1f19:6ab::2
159.203.183.20	2602:ffb8::208:72:57:200
159.203.183.20	2a01:7e01::f03c:91ff:fee3:a22f
159.203.183.20	2a01:7c8:d006:e2:5054:ff:fe49:1869
76.88.107.25	2607:5501:3000:2056::2
76.88.107.25	2001:41d0:2:d26::12
76.88.107.25	2001:41d0:1:b40d::1
68.162.151.51	2001:470:1f07:803:20c:29ff:fe2d:5879
68.183.23.190	2604:a880:400:d1::96b:1
5.135.160.228	2001:41d0:8:e3e4::1
5.135.160.228	2001:41d0:8:9c6e::1
5.135.160.228	2a01:7a7:2:1467:ec4:7aff:fee2:5690
208.81.1.105	2a01:4f8:c2c:a0d::1
208.81.1.105	2607:5300:60:1964::1
208.81.1.105	2a01:4f9:2a:201b::2
208.81.1.105	2607:5300:60:24d2::42:5443
208.81.1.105	2605:e200:d202:300:20c:29ff:fef1:85ec
208.81.1.105	2a01:4f8:150:630d::2
208.81.1.105	2a01:4f8:190:91c4::2
172.105.47.179	2600:3c00::f03c:92ff:feb3:899f
5.9.82.162	2a01:4f8:161:21d2::2
5.9.82.162	2a01:4f8:202:5409::2
5.9.82.162	2a01:4f8:140:305e::2
5.9.82.162	2a01:4f8:190:7113::2
5.9.82.162	2a01:4f8:162:636f::2
5.9.82.162	2a01:4f8:192:369::2
5.9.82.162	2a01:4f8:140:94ab::2
5.9.82.162	2a01:4f8:a0:839a::2
5.9.82.162	2a01:4f8:191:2e7::2
5.9.82.162	2a01:4f8:190:2126::2
5.9.82.162	2a01:4f8:a0:10bb::2
5.9.82.162	2a01:4f8:162:512a::2
5.9.82.162	2a01:4f8:160:94c7::2
5.9.82.162	2a01:4f8:161:716e::2
5.9.82.162	2a01:4f8:162:4102::2
5.9.82.162	2a01:4f8:a0:910b::2
5.9.82.162	2a01:4f8:202:402f::2
5.9.82.162	2a01:4f8:190:7346::2
5.9.82.162	2a01:4f8:120:427e::2
5.9.82.162	2a01:4f8:151:82a7::2
5.9.82.162	2a01:4f8:150:93c7::2
5.9.82.162	2a01:4f8:162:1cc::2
5.9.82.162	2a01:4f8:202:5118::2
5.9.82.162	2a01:4f8:161:50a6::2
5.9.82.162	2a01:4f8:151:62c1::2
5.9.82.162	2a01:4f8:162:128e::2
5.9.82.162	2a01:4f8:161:3354::2
