evaluator	POSITIVE	NEGATIVE	INDECISIVE	CONFLICT	ERROR
TCPRAW_SCHEITLE	239		230801		1218
TCPRAW_STARKE	884	6747	223214		1413
DOMAIN	41	2267	229895		55
SSH_KEYSCAN	36264	14368	181571		55
TCP_OPTIONS		49433	182825		
ML_STARKE	13174	161379	55742		1963
BITCOIN	396	61523	169472		867
BITCOIN_ADDR		23532	150361		771
BITCOIN_ADDR_SVC		15013	158880		771
