ip4	ip6
77.13.178.39	2a01:4f8:a0:14ec::2
77.13.178.39	2a00:1f40:5001:100::31
77.13.178.39	2a01:4f8:121:4406::2
77.13.178.39	2a01:4f8:c010:113f::1
77.13.178.39	2a01:4f8:221:45c8::2
77.13.178.39	2a01:4f8:c17:b7b3::1
77.13.178.39	2001:7c0:2310:0:f816:3eff:fe0d:4ab6
77.13.178.39	2a01:4f8:c0c:ead9::1
77.13.178.39	2607:5300:60:614::1
77.13.178.39	2a01:4f9:2a:1ce6::2
77.13.178.39	2001:41d0:1000:2c63::
77.13.178.39	2001:b07:6441:3ac6:ea9b:feb8:cb1:f683
77.13.178.39	2001:41d0:1:792b::1
77.13.178.39	2804:14d:4c93:9809:9769:da80:1832:3480
77.13.178.39	2a00:7c80:0:25::e37a
77.13.178.39	2605:e000:1c0b:8ca7:5844:ef64:fb40:70ec
77.13.178.39	2a01:4f8:241:1389::2
77.13.178.39	2a01:4f8:13a:cdd::2
77.13.178.39	2a01:4f8:10b:f04::2
77.13.178.39	2a01:e0a:171:c410:d95e:2258:b8ea:e54d
77.13.178.39	2a01:e0a:3fc:e2e0:c19f:ffee:1689:2318
77.13.178.39	2a01:e34:ec4b:b20:28c0:2eff:fe30:a14a
77.13.178.39	2a02:2f0e:110:5200:84b0:4d08:ea65:679b
77.13.178.39	2001:41d0:8:fd5::1
77.13.178.39	2a01:4f9:4a:3661::2
77.13.178.39	2a01:7c8:d002:10f:5054:ff:fe5c:dac7
77.13.178.39	2607:5300:60:240d::1
77.13.178.39	2607:5300:203:1214::
77.13.178.39	2a01:4f9:2b:4ee::2
77.13.178.39	2001:19f0:5801:12e2:5400:2ff:feb0:e8ad
77.13.178.39	2a03:b0c0:3:f0::9:1000
77.13.178.39	2a00:1768:2001:27::ef6a
77.13.178.39	2001:41d0:303:d80a::
77.13.178.39	2a02:af8:fab0:808:85:234:145:132
77.13.178.39	2a01:4f8:c2c:5011::1
77.13.178.39	2607:fea8:660:545a:340a:ff3b:67ed:fcea
77.13.178.39	2a01:4f8:201:11ea::2
77.13.178.39	2a01:4f8:202:32c6::2
77.13.178.39	2a01:4f8:190:91ce::2
77.13.178.39	2001:470:1f19:6ab::2
77.13.178.39	2001:470:18:e9e::2
77.13.178.39	2a01:138:a017:b018::42
77.13.178.39	2001:bc8:6005:0:529a:4cff:fe84:d1eb
77.13.178.39	2001:41d0:8:c30f::1
77.13.178.39	2001:470:da72::2:3
94.174.64.12	2a02:908:1a64:65e0:d01a:5518:8ad7:2794
94.174.64.12	2a00:1838:2a:1500:c429:c2b9:203:7884
94.174.64.12	2a03:4000:47:f1::1
94.174.64.12	2a01:e0a:16f:91e0:a6ba:dbff:fec5:1e9b
94.174.64.12	2a01:4f8:151:5186::2
94.174.64.12	2a01:4f8:1c1c:f0b::1
94.174.64.12	2001:41d0:a:29c::1
94.174.64.12	2001:41d0:303:6cd7::
94.174.64.12	2a01:4f8:120:738d::2
94.174.64.12	2a01:4f8:231:4a16::2
94.174.64.12	2a01:7c8:aaaa:456:5054:ff:feb1:55af
94.174.64.12	2001:470:1f15:c43::11
94.174.64.12	2001:980:c324:4:5054:ff:fe96:e236
94.174.64.12	2a01:7c8:aac2:180:5054:ff:fe56:8d10
