evaluator	POSITIVE	NEGATIVE	INDECISIVE	CONFLICT	ERROR
TCPRAW_SCHEITLE	385		1167351		5343
TCPRAW_STARKE	394		1167342		5343
DOMAIN	89		1172990		
SSH_KEYSCAN	450	220952	951677		
TCP_OPTIONS		445331	727748		
ML_STARKE			394		1172685
BITCOIN		573930	590413		8736
BITCOIN_ADDR		349482	814861		8736
BITCOIN_ADDR_SVC		268950	895393		8736
