algorithm	pos_was_POSITIVE	pos_was_NEGATIVE	pos_was_INDECISIVE	pos_was_CONFLICT	pos_was_ERROR	pos_probable	pos_improbable	neg_was_POSITIVE	neg_was_NEGATIVE	neg_was_INDECISIVE	neg_was_CONFLICT	neg_was_ERROR	neg_probable	neg_improbable	conflict	indecisive	error
definite	328					0	0		942611				0	0	122	226224	3794
most_definite	328			122		8	0		633667				0	0	0	538962	0
btc_definite									737393		122		8	0	0	426828	8736
probable	40	16	25	8		33	0								0	1172990	0
improbable								3	238901	30046			0	0	0	895393	8736
starke	98	88	173	34	1	13	0								0	0	1172685
scheitle	98	83	169	34	1	13	0								0	1167351	5343
keyscan	328			122		8	0		220952				0	0	0	951677	0
